datetime_utc,bz_gsm_nt,flow_speed_kms,sym_h_nt
2001-03-29 00:00:00,-1.71,569.9,-46
2001-03-29 00:05:00,-1.79,568.5,-46
2001-03-29 00:10:00,-2.05,569.1,-47
2001-03-29 00:15:00,-2.15,567.5,-49
2001-03-29 00:20:00,-2.06,567.3,-49
2001-03-29 00:25:00,-2.14,564.8,-49
2001-03-29 00:30:00,-2.26,565.6,-51
2001-03-29 00:35:00,-2.34,566.7,-52
2001-03-29 00:40:00,-2.01,565.7,-52
2001-03-29 00:45:00,-1.95,565.6,-52
2001-03-29 00:50:00,-2.21,564.2,-51
2001-03-29 00:55:00,-2.37,562.2,-51
2001-03-29 01:00:00,-2.27,562.0,-53
2001-03-29 01:05:00,-2.33,561.3,-52
2001-03-29 01:10:00,-2.08,560.8,-51
2001-03-29 01:15:00,-2.15,563.2,-51
2001-03-29 01:20:00,-2.25,562.6,-53
2001-03-29 01:25:00,-2.37,562.1,-53
2001-03-29 01:30:00,-2.22,560.0,-53
2001-03-29 01:35:00,-2.56,559.4,-53
2001-03-29 01:40:00,-2.50,560.5,-54
2001-03-29 01:45:00,-2.35,558.7,-53
2001-03-29 01:50:00,-2.56,557.3,-51
2001-03-29 01:55:00,-1.98,554.4,-49
2001-03-29 02:00:00,-1.06,555.1,-47
2001-03-29 02:05:00,-1.76,553.4,-42
2001-03-29 02:10:00,-1.28,553.5,-41
2001-03-29 02:15:00,-0.02,549.5,-41
2001-03-29 02:20:00,1.60,542.1,-42
2001-03-29 02:25:00,1.83,540.9,-43
2001-03-29 02:30:00,0.97,545.1,-43
2001-03-29 02:35:00,-0.03,544.5,-43
2001-03-29 02:40:00,-1.04,544.9,-44
2001-03-29 02:45:00,-1.12,544.3,-43
2001-03-29 02:50:00,-0.68,544.8,-42
2001-03-29 02:55:00,-0.30,542.3,-42
2001-03-29 03:00:00,-1.53,542.9,-40
2001-03-29 03:05:00,-2.52,543.2,-44
2001-03-29 03:10:00,-2.31,544.0,-43
2001-03-29 03:15:00,-0.69,540.2,-42
2001-03-29 03:20:00,-0.67,541.2,-42
2001-03-29 03:25:00,-2.20,545.6,-41
2001-03-29 03:30:00,-2.08,547.0,-44
2001-03-29 03:35:00,-2.00,548.6,-45
2001-03-29 03:40:00,-1.97,546.4,-45
2001-03-29 03:45:00,-1.84,542.0,-45
2001-03-29 03:50:00,-1.72,543.2,-45
2001-03-29 03:55:00,-1.73,539.9,-46
2001-03-29 04:00:00,-1.94,539.3,-48
2001-03-29 04:05:00,-2.38,537.8,-49
2001-03-29 04:10:00,-2.46,535.5,-50
2001-03-29 04:15:00,-2.73,535.8,-50
2001-03-29 04:20:00,-2.71,535.7,-50
2001-03-29 04:25:00,-2.61,534.1,-50
2001-03-29 04:30:00,-2.64,530.1,-50
2001-03-29 04:35:00,-3.07,528.7,-50
2001-03-29 04:40:00,-3.53,529.4,-51
2001-03-29 04:45:00,-3.58,530.0,-51
2001-03-29 04:50:00,-3.71,530.2,-49
2001-03-29 04:55:00,-4.33,536.8,-45
2001-03-29 05:00:00,-4.73,541.4,-42
2001-03-29 05:05:00,-4.63,542.2,-41
2001-03-29 05:10:00,-5.14,545.3,-43
2001-03-29 05:15:00,-5.15,542.1,-44
2001-03-29 05:20:00,-2.24,547.4,-45
2001-03-29 05:25:00,0.91,550.5,-38
2001-03-29 05:30:00,-1.12,554.6,-35
2001-03-29 05:35:00,-3.26,554.9,-43
2001-03-29 05:40:00,2.40,563.3,-44
2001-03-29 05:45:00,-0.47,564.2,-44
2001-03-29 05:50:00,-2.63,561.2,-45
2001-03-29 05:55:00,-0.66,559.8,-44
2001-03-29 06:00:00,1.54,554.1,-40
2001-03-29 06:05:00,4.43,550.7,-25
2001-03-29 06:10:00,2.15,552.5,-20
2001-03-29 06:15:00,0.54,550.7,-19
2001-03-29 06:20:00,-0.81,549.5,-21
2001-03-29 06:25:00,-2.52,551.2,-21
2001-03-29 06:30:00,-3.26,551.5,-24
2001-03-29 06:35:00,-3.95,554.7,-25
2001-03-29 06:40:00,-1.64,548.1,-23
2001-03-29 06:45:00,-1.90,550.8,-21
2001-03-29 06:50:00,-3.61,550.0,-23
2001-03-29 06:55:00,-3.17,545.0,-27
2001-03-29 07:00:00,-3.25,546.6,-25
2001-03-29 07:05:00,-2.36,549.7,-27
2001-03-29 07:10:00,-2.03,552.1,-29
2001-03-29 07:15:00,-0.42,548.6,-23
2001-03-29 07:20:00,0.27,545.2,-29
2001-03-29 07:25:00,0.68,547.2,-33
2001-03-29 07:30:00,1.00,545.4,-28
2001-03-29 07:35:00,1.51,545.5,-26
2001-03-29 07:40:00,1.27,543.1,-30
2001-03-29 07:45:00,1.80,545.2,-35
2001-03-29 07:50:00,1.91,566.8,-33
2001-03-29 07:55:00,1.64,566.2,-27
2001-03-29 08:00:00,1.56,564.5,-22
2001-03-29 08:05:00,1.45,565.3,-26
2001-03-29 08:10:00,1.06,566.8,-29
2001-03-29 08:15:00,0.57,558.6,-31
2001-03-29 08:20:00,0.39,554.4,-29
2001-03-29 08:25:00,-0.13,556.2,-26
2001-03-29 08:30:00,0.49,557.1,-25
2001-03-29 08:35:00,1.25,559.5,-26
2001-03-29 08:40:00,2.30,559.1,-26
2001-03-29 08:45:00,2.45,559.9,-25
2001-03-29 08:50:00,2.15,561.5,-27
2001-03-29 08:55:00,1.81,559.3,-29
2001-03-29 09:00:00,1.64,558.9,-31
2001-03-29 09:05:00,2.13,558.1,-31
2001-03-29 09:10:00,1.70,556.6,-32
2001-03-29 09:15:00,1.31,555.2,-29
2001-03-29 09:20:00,2.65,554.4,-30
2001-03-29 09:25:00,3.17,552.7,-29
2001-03-29 09:30:00,2.72,554.1,-27
2001-03-29 09:35:00,1.85,554.2,-27
2001-03-29 09:40:00,1.82,551.2,-27
2001-03-29 09:45:00,2.19,549.7,-27
2001-03-29 09:50:00,3.34,548.7,-27
2001-03-29 09:55:00,3.36,544.6,-27
2001-03-29 10:00:00,3.08,547.1,-29
2001-03-29 10:05:00,1.91,545.9,-27
2001-03-29 10:10:00,0.80,540.6,-25
2001-03-29 10:15:00,1.21,540.2,-21
2001-03-29 10:20:00,0.85,541.1,-17
2001-03-29 10:25:00,0.80,541.3,-17
2001-03-29 10:30:00,0.68,541.7,-17
2001-03-29 10:35:00,0.31,542.3,-18
2001-03-29 10:40:00,0.33,544.1,-20
2001-03-29 10:45:00,0.45,542.7,-22
2001-03-29 10:50:00,0.66,541.8,-19
2001-03-29 10:55:00,0.46,541.8,-20
2001-03-29 11:00:00,1.44,542.9,-23
2001-03-29 11:05:00,1.17,541.5,-23
2001-03-29 11:10:00,0.98,539.1,-24
2001-03-29 11:15:00,1.13,536.1,-25
2001-03-29 11:20:00,1.22,539.6,-26
2001-03-29 11:25:00,1.30,525.5,-27
2001-03-29 11:30:00,1.64,521.3,-30
2001-03-29 11:35:00,1.71,525.9,-32
2001-03-29 11:40:00,1.45,531.1,-33
2001-03-29 11:45:00,1.71,532.7,-32
2001-03-29 11:50:00,2.06,527.2,-32
2001-03-29 11:55:00,1.51,522.3,-30
2001-03-29 12:00:00,1.09,523.7,-30
2001-03-29 12:05:00,1.21,524.8,-27
2001-03-29 12:10:00,1.06,519.4,-25
2001-03-29 12:15:00,0.45,526.5,-26
2001-03-29 12:20:00,1.37,524.1,-26
2001-03-29 12:25:00,-0.06,523.9,-26
2001-03-29 12:30:00,0.35,518.8,-25
2001-03-29 12:35:00,0.75,515.7,-25
2001-03-29 12:40:00,1.43,,-30
2001-03-29 12:45:00,1.45,514.9,-29
2001-03-29 12:50:00,0.87,514.9,-31
2001-03-29 12:55:00,2.62,520.8,-33
2001-03-29 13:00:00,1.37,524.6,-32
2001-03-29 13:05:00,1.29,528.9,-31
2001-03-29 13:10:00,1.19,525.4,-31
2001-03-29 13:15:00,0.36,519.0,-33
2001-03-29 13:20:00,-0.37,519.2,-30
2001-03-29 13:25:00,-0.70,520.0,-30
2001-03-29 13:30:00,-0.40,518.8,-28
2001-03-29 13:35:00,-0.42,519.3,-27
2001-03-29 13:40:00,-0.50,517.6,-26
2001-03-29 13:45:00,-1.00,520.1,-26
2001-03-29 13:50:00,-1.18,514.4,-26
2001-03-29 13:55:00,0.03,517.2,-27
2001-03-29 14:00:00,0.17,513.5,-27
2001-03-29 14:05:00,0.15,519.2,-27
2001-03-29 14:10:00,0.09,521.4,-27
2001-03-29 14:15:00,0.22,518.7,-26
2001-03-29 14:20:00,0.14,517.7,-27
2001-03-29 14:25:00,0.16,516.7,-28
2001-03-29 14:30:00,-0.47,505.1,-28
2001-03-29 14:35:00,-0.14,504.6,-28
2001-03-29 14:40:00,-0.13,504.4,-27
2001-03-29 14:45:00,-0.03,503.3,-27
2001-03-29 14:50:00,0.12,508.7,-27
2001-03-29 14:55:00,0.09,506.7,-27
2001-03-29 15:00:00,0.08,510.5,-26
2001-03-29 15:05:00,0.11,511.8,-21
2001-03-29 15:10:00,0.28,511.5,-19
2001-03-29 15:15:00,-0.01,503.9,-19
2001-03-29 15:20:00,-0.29,505.4,-19
2001-03-29 15:25:00,-0.55,502.6,-19
2001-03-29 15:30:00,-0.26,501.3,-19
2001-03-29 15:35:00,-0.07,502.3,-19
2001-03-29 15:40:00,0.55,500.5,-17
