datetime_utc,bz_gsm_nt,flow_speed_kms,sym_h_nt
2001-04-10 00:00:00,-0.92,567.4,-36
2001-04-10 00:05:00,-0.12,559.6,-37
2001-04-10 00:10:00,-0.78,560.4,-38
2001-04-10 00:15:00,-1.39,558.5,-40
2001-04-10 00:20:00,0.30,557.0,-41
2001-04-10 00:25:00,0.97,558.7,-42
2001-04-10 00:30:00,-0.07,557.8,-43
2001-04-10 00:35:00,-1.98,573.8,-42
2001-04-10 00:40:00,-1.52,571.5,-42
2001-04-10 00:45:00,-0.82,556.5,-43
2001-04-10 00:50:00,-0.95,558.2,-43
2001-04-10 00:55:00,-0.96,558.2,-43
2001-04-10 01:00:00,-1.40,567.8,-42
2001-04-10 01:05:00,-1.42,584.6,-42
2001-04-10 01:10:00,-0.94,585.6,-41
2001-04-10 01:15:00,-0.73,589.6,-42
2001-04-10 01:20:00,-0.85,578.4,-42
2001-04-10 01:25:00,-2.39,579.0,-42
2001-04-10 01:30:00,-3.00,581.3,-42
2001-04-10 01:35:00,-2.85,583.0,-43
2001-04-10 01:40:00,-2.54,590.0,-44
2001-04-10 01:45:00,-1.66,576.2,-43
2001-04-10 01:50:00,-0.79,549.1,-44
2001-04-10 01:55:00,1.28,558.1,-44
2001-04-10 02:00:00,-1.15,550.3,-43
2001-04-10 02:05:00,-1.14,552.7,-42
2001-04-10 02:10:00,-1.03,552.6,-41
2001-04-10 02:15:00,-0.57,549.7,-39
2001-04-10 02:20:00,-1.30,549.4,-38
2001-04-10 02:25:00,-0.65,551.6,-37
2001-04-10 02:30:00,-0.28,546.3,-37
2001-04-10 02:35:00,-0.16,548.3,-37
2001-04-10 02:40:00,-0.00,548.2,-36
2001-04-10 02:45:00,-0.78,545.8,-36
2001-04-10 02:50:00,-0.42,542.8,-37
2001-04-10 02:55:00,-0.34,543.2,-37
2001-04-10 03:00:00,-0.26,542.9,-37
2001-04-10 03:05:00,-1.11,543.7,-36
2001-04-10 03:10:00,-0.34,543.0,-35
2001-04-10 03:15:00,-0.52,544.7,-35
2001-04-10 03:20:00,0.26,545.2,-35
2001-04-10 03:25:00,1.58,547.6,-34
2001-04-10 03:30:00,0.93,547.3,-34
2001-04-10 03:35:00,-0.27,545.2,-35
2001-04-10 03:40:00,-0.87,562.7,-35
2001-04-10 03:45:00,0.35,559.5,-33
2001-04-10 03:50:00,1.51,568.8,-32
2001-04-10 03:55:00,0.66,568.8,-32
2001-04-10 04:00:00,1.47,571.6,-32
2001-04-10 04:05:00,1.18,579.3,-32
2001-04-10 04:10:00,2.47,575.6,-32
2001-04-10 04:15:00,2.85,574.3,-32
2001-04-10 04:20:00,2.39,571.1,-32
2001-04-10 04:25:00,2.10,570.5,-32
2001-04-10 04:30:00,1.82,553.9,-32
2001-04-10 04:35:00,1.43,543.8,-32
2001-04-10 04:40:00,0.66,538.8,-32
2001-04-10 04:45:00,0.43,538.0,-31
2001-04-10 04:50:00,-0.07,537.2,-31
2001-04-10 04:55:00,-0.52,536.9,-31
2001-04-10 05:00:00,-1.23,538.3,-31
2001-04-10 05:05:00,-1.25,542.9,-31
2001-04-10 05:10:00,0.22,551.2,-29
2001-04-10 05:15:00,0.07,552.3,-28
2001-04-10 05:20:00,1.11,541.5,-25
2001-04-10 05:25:00,1.40,538.9,-23
2001-04-10 05:30:00,1.49,538.0,-22
2001-04-10 05:35:00,1.93,538.4,-22
2001-04-10 05:40:00,1.55,538.1,-23
2001-04-10 05:45:00,1.08,534.9,-24
2001-04-10 05:50:00,1.57,540.8,-24
2001-04-10 05:55:00,1.63,551.3,-25
2001-04-10 06:00:00,1.56,542.1,-25
2001-04-10 06:05:00,1.35,538.2,-25
2001-04-10 06:10:00,1.06,532.2,-25
2001-04-10 06:15:00,0.99,533.1,-25
2001-04-10 06:20:00,1.50,537.2,-25
2001-04-10 06:25:00,2.30,539.1,-24
2001-04-10 06:30:00,1.52,533.9,-25
2001-04-10 06:35:00,0.62,533.0,-25
2001-04-10 06:40:00,0.10,534.5,-25
2001-04-10 06:45:00,0.13,534.4,-25
2001-04-10 06:50:00,1.28,536.3,-26
2001-04-10 06:55:00,1.26,535.6,-25
2001-04-10 07:00:00,0.64,536.2,-25
2001-04-10 07:05:00,-0.07,536.2,-26
2001-04-10 07:10:00,-0.05,537.2,-27
2001-04-10 07:15:00,-0.39,538.8,-27
2001-04-10 07:20:00,0.80,566.5,-25
2001-04-10 07:25:00,0.82,558.1,-25
2001-04-10 07:30:00,-0.29,548.0,-24
2001-04-10 07:35:00,-0.53,545.0,-23
2001-04-10 07:40:00,-0.57,531.7,-23
2001-04-10 07:45:00,0.15,528.0,-23
2001-04-10 07:50:00,0.29,530.6,-22
2001-04-10 07:55:00,-0.02,531.8,-22
2001-04-10 08:00:00,-0.70,538.3,-23
2001-04-10 08:05:00,-0.88,542.3,-22
2001-04-10 08:10:00,-1.02,556.4,-22
2001-04-10 08:15:00,-0.47,552.3,-21
2001-04-10 08:20:00,-0.47,557.5,-20
2001-04-10 08:25:00,-0.48,556.6,-21
2001-04-10 08:30:00,-1.12,552.2,-21
2001-04-10 08:35:00,-1.25,551.3,-21
2001-04-10 08:40:00,-1.53,555.7,-22
2001-04-10 08:45:00,-1.60,556.6,-22
2001-04-10 08:50:00,-0.67,560.4,-21
2001-04-10 08:55:00,-0.25,573.2,-20
2001-04-10 09:00:00,-0.65,581.3,-18
2001-04-10 09:05:00,-2.42,576.7,-17
2001-04-10 09:10:00,-2.74,572.0,-17
2001-04-10 09:15:00,-2.65,569.5,-17
2001-04-10 09:20:00,-3.01,573.1,-17
2001-04-10 09:25:00,-1.47,568.4,-17
2001-04-10 09:30:00,1.47,592.8,-18
2001-04-10 09:35:00,3.01,625.2,-17
2001-04-10 09:40:00,2.94,624.1,-16
2001-04-10 09:45:00,3.63,627.1,-18
2001-04-10 09:50:00,2.61,617.5,-20
2001-04-10 09:55:00,2.83,622.9,-20
2001-04-10 10:00:00,3.74,618.6,-20
2001-04-10 10:05:00,3.36,617.1,-20
2001-04-10 10:10:00,2.68,614.2,-20
2001-04-10 10:15:00,2.25,607.6,-19
2001-04-10 10:20:00,2.28,605.5,-19
2001-04-10 10:25:00,2.50,597.0,-18
2001-04-10 10:30:00,3.86,608.0,-17
2001-04-10 10:35:00,3.77,611.0,-17
2001-04-10 10:40:00,3.59,591.2,-16
2001-04-10 10:45:00,3.18,577.3,-16
2001-04-10 10:50:00,3.13,588.5,-16
2001-04-10 10:55:00,3.29,581.4,-15
2001-04-10 11:00:00,3.26,588.2,-14
2001-04-10 11:05:00,-0.72,572.1,-14
2001-04-10 11:10:00,-1.61,570.9,-15
2001-04-10 11:15:00,-0.42,554.7,-16
2001-04-10 11:20:00,-0.31,548.8,-15
2001-04-10 11:25:00,-0.15,549.2,-15
2001-04-10 11:30:00,-0.12,553.1,-13
2001-04-10 11:35:00,-1.59,555.2,-14
2001-04-10 11:40:00,-2.28,552.9,-14
2001-04-10 11:45:00,-1.48,551.2,-14
2001-04-10 11:50:00,-1.99,552.7,-15
2001-04-10 11:55:00,-0.60,571.1,-14
2001-04-10 12:00:00,-0.10,568.5,-13
2001-04-10 12:05:00,-1.17,566.9,-15
2001-04-10 12:10:00,-1.18,571.8,-15
2001-04-10 12:15:00,-0.21,562.6,-14
2001-04-10 12:20:00,-1.04,554.4,-13
2001-04-10 12:25:00,-1.04,553.8,-13
2001-04-10 12:30:00,-1.62,552.4,-14
2001-04-10 12:35:00,-1.29,550.0,-14
2001-04-10 12:40:00,-0.92,552.3,-13
2001-04-10 12:45:00,-0.99,552.0,-13
2001-04-10 12:50:00,-2.12,559.5,-13
2001-04-10 12:55:00,-1.88,559.9,-12
2001-04-10 13:00:00,-1.03,551.9,-12
2001-04-10 13:05:00,-0.69,551.9,-13
2001-04-10 13:10:00,0.30,550.6,-13
2001-04-10 13:15:00,2.64,554.8,-13
2001-04-10 13:20:00,2.26,555.9,-14
2001-04-10 13:25:00,0.96,548.6,-15
2001-04-10 13:30:00,1.04,547.9,-17
2001-04-10 13:35:00,1.87,552.0,-17
2001-04-10 13:40:00,1.80,569.5,-16
2001-04-10 13:45:00,0.90,560.1,-17
2001-04-10 13:50:00,0.74,553.6,-16
2001-04-10 13:55:00,-2.34,562.3,-16
2001-04-10 14:00:00,-2.99,565.1,-16
2001-04-10 14:05:00,-2.92,563.5,-17
2001-04-10 14:10:00,-2.57,556.9,-17
2001-04-10 14:15:00,-2.06,556.6,-17
2001-04-10 14:20:00,-3.24,561.1,-16
2001-04-10 14:25:00,-3.00,568.6,-15
2001-04-10 14:30:00,-1.66,566.3,-15
2001-04-10 14:35:00,-1.84,568.4,-15
2001-04-10 14:40:00,-0.40,571.2,-14
2001-04-10 14:45:00,-1.29,559.5,-15
2001-04-10 14:50:00,-0.92,558.1,-16
2001-04-10 14:55:00,-1.80,551.1,-15
2001-04-10 15:00:00,-0.95,544.5,-15
2001-04-10 15:05:00,-1.18,552.7,-16
2001-04-10 15:10:00,-2.36,565.1,-16
2001-04-10 15:15:00,-0.99,559.6,-16
2001-04-10 15:20:00,-2.13,554.0,-17
2001-04-10 15:25:00,-1.79,549.3,-18
2001-04-10 15:30:00,-2.62,554.3,-18
2001-04-10 15:35:00,-2.52,552.8,-18
2001-04-10 15:40:00,-2.34,547.3,-19
